Year,Month,Values
2015,Feb,6.85
2015,Mar,12.19
2015,Apr,16.92
2015,May,19.15
2015,Jun,22.07
2015,Jul,23.17
2015,Aug,19.59
2015,Sep,13.11
2015,Oct,7.68
2015,Nov,6.02
2015,Dec,3.26
2016,Jan,4.72
2016,Feb,7.02
2016,Mar,10.86
2016,Apr,15.47
2016,May,18.56
2016,Jun,21.45
2016,Jul,21.55
2016,Aug,19.06
2016,Sep,14.41
2016,Oct,7.66
2016,Nov,5.16
2016,Dec,3.94
2017,Jan,3.86
2017,Feb,7.72
2017,Mar,11.88
2017,Apr,14.20
2017,May,20.34
2017,Jun,23.32
2017,Jul,24.28
2017,Aug,20.99
2017,Sep,12.53
2017,Oct,10.00
2017,Nov,4.90
2017,Dec,3.75
2018,Jan,4.04
2018,Feb,6.96
