Year,Month,Values
2015,Feb,23.5
2015,Mar,24.48
2015,Apr,25.87
2015,May,29.85
2015,Jun,30.98
2015,Jul,33.35
2015,Avg,33.48
2015,Sep,31.25
2015,Oct,28.09
2015,Nov,24.76
2015,Dec,25.47
2016,Jan,23.04
2016,Feb,25.59
2016,Mar,25.45
2016,Apr,27.18
2016,May,29.03
2016,Jun,31.62
2016,Jul,32.44
2016,Avg,31.46
2016,Sep,29.93
2016,Oct,27.51
2016,Nov,24.91
2016,Dec,22.4
2017,Jan,21.53
2017,Feb,24.44
2017,Mar,25.25
2017,Apr,26.46
2017,May,29.15
2017,Jun,31.88
2017,Jul,32.19
2017,Avg,32.25
2017,Sep,30.31
2017,Oct,26.89
2017,Nov,25.7
2017,Dec,23.68
2018,Jan,21.95
2018,Feb,24.98
