Year,Month,Values
2015,Feb,17.47
2015,Mar,25.3
2015,Apr,33.26
2015,May,39.03
2015,Jun,41.63
2015,Jul,40.15
2015,Aug,35.33
2015,Sep,27.99
2015,Oct,19.35
2015,Nov,13.38
2015,Dec,10.37
2016,Jan,11.84
2016,Feb,17.54
2016,Mar,25.44
2016,Apr,33.34
2016,May,39.12
2016,Jun,41.58
2016,Jul,40.05
2016,Aug,35.11
2016,Sep,27.78
2016,Oct,19.76
2016,Nov,13.25
2016,Dec,10.35
2017,Jan,11.90
2017,Feb,17.48
2017,Mar,24.31
2017,Apr,33.17
2017,May,39.02
2017,Jun,41.58
2017,Jul,40.14
2017,Aug,35.27
2017,Sep,27.98
2017,Oct,19.94
2017,Nov,13.29
2017,Dec,10.01
2018,Jan,11.78
2018,Feb,17.24
